Volume de poro (cm³/g);Área BET média (m²/g);Diâmetro Cinético (A);Massa molar [mol/g];T [K];P [kPa];Q [mmol/g]
0,67;1863;3,69;28,01;350;179,6407186;0,038167939
0,67;1863;3,69;28,01;350;1526,946108;0,221374046
0,67;1863;3,69;28,01;350;2604,790419;0,312977099
0,67;1863;3,69;28,01;350;4670,658683;0,496183206
0,67;1863;3,69;28,01;350;7994,011976;0,885496183
0,67;1863;3,69;28,01;350;13293,41317;1,366412214
0,67;1863;3,69;28,01;350;18772,45509;1,755725191
0,67;1863;3,69;28,01;350;25868,26347;2,282442748
0,67;1863;3,69;28,01;314;1167,664671;0,221374046
0,67;1863;3,69;28,01;314;2694,610778;0,496183206
0,67;1863;3,69;28,01;314;4670,658683;0,86259542
0,67;1863;3,69;28,01;314;7994,011976;1,320610687
0,67;1863;3,69;28,01;314;13203,59281;2,099236641
0,67;1863;3,69;28,01;314;18502,99401;2,694656489
0,67;1863;3,69;28,01;314;26137,72455;3,404580153
0,67;1863;3,69;28,01;294;1526,946108;0,358778626
0,67;1863;3,69;28,01;294;2604,790419;0,65648855
0,67;1863;3,69;28,01;294;4580,838323;1,06870229
0,67;1863;3,69;28,01;294;7994,011976;1,755725191
0,67;1863;3,69;28,01;294;13113,77246;2,694656489
0,67;1863;3,69;28,01;294;18772,45509;3,541984733
0,67;1863;3,69;28,01;294;26047,90419;4,41221374
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
